[2026-07-06 23:50:15] Target: C:\5ddee7b0b73c09d07f96460afbf9db91
[2026-07-06 23:50:15] Verified Tencent Video cache. Files=1082, Size=5.89 GB
[2026-07-06 23:50:15] C free before: 108.04 GB
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\170.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\170.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\171.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\171.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\172.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\172.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\173.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\173.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\174.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\174.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\175.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\175.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\176.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\176.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\177.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\177.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\178.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\178.ts”正由另一进程使用，因此该进程无法访问此文件。
[2026-07-06 23:50:16] FAILED file: C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\179.ts :: 文件“C:\5ddee7b0b73c09d07f96460afbf9db91\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls\0b53oyabyaaaw4am2gbrffrma5wddr5qagca.f322093001.hls_150_179\179.ts”正由另一进程使用，因此该进程无法访问此文件。
